stat: 9476.208612
1.949160 0.947852 0.003834
1.979160 0.932697 0.002768
2.009160 0.938266 0.002307
2.039160 0.895925 0.001898
2.069160 0.871933 0.001668
2.099160 0.889222 0.001552
2.129160 0.888205 0.001455
2.159160 0.881480 0.001423
2.189160 0.845970 0.001326
2.219160 0.853481 0.001383
2.249160 0.830475 0.001335
2.279160 0.825505 0.001368
2.309160 0.828140 0.001462
2.339160 0.820532 0.001487
2.369160 0.812094 0.001467
2.399160 0.803302 0.001503
2.429160 0.797120 0.001544
2.459160 0.781404 0.001531
2.489160 0.782660 0.001585
2.519160 0.773803 0.001588
2.549160 0.771694 0.001669
2.579160 0.764469 0.001711
2.609160 0.753668 0.001709
2.639160 0.746849 0.001732
2.669160 0.728753 0.001723
2.699160 0.732841 0.001747
2.729160 0.720651 0.001738
2.759160 0.711187 0.001747
2.789160 0.711189 0.001823
2.819160 0.707532 0.001856
2.849160 0.701590 0.001907
2.879160 0.701766 0.001947
2.909160 0.688216 0.002009
2.939160 0.686633 0.002028
2.969160 0.680365 0.002090
2.999160 0.668823 0.002086
3.029160 0.651584 0.002151
3.059160 0.645615 0.002210
3.089160 0.646292 0.002357
3.119160 0.639900 0.002372
3.149160 0.620948 0.002437
3.179160 0.606531 0.002503
3.209160 0.606769 0.002568
3.239160 0.584550 0.002659
3.269160 0.585876 0.002823
3.299160 0.595377 0.002852
3.329160 0.582071 0.002873
3.359160 0.560002 0.002930
3.389160 0.540664 0.002976
3.419160 0.540514 0.002950
3.449160 0.515386 0.002997
