A_qso chisq
2.074967 0.940439
1.255473 1.177131
1.552179 1.455808
3.861723 1.572664
1.514065 1.039254
1.526571 0.891320
4.897732 2.142522
2.219102 1.048025
1.060239 1.286309
1.251588 2.303422
2.055379 1.591000
4.665835 1.671239
3.784481 1.048549
1.478604 0.890296
1.556864 1.227772
0.631346 1.011265
0.808067 0.865959
4.721912 2.047224
3.437358 1.814947
5.864700 0.926582
2.127991 0.907463
0.616571 0.964767
2.104485 1.391166
2.274290 0.941707
2.704644 0.980995
5.783930 0.571646
1.268091 1.144241
0.764869 1.244146
4.119820 0.753563
0.798444 1.110855
1.428903 1.353462
0.833248 1.380513
19.554577 0.927281
3.030185 0.997653
0.998391 1.056739
0.420580 1.391131
2.357472 0.773800
2.655030 0.987931
0.518852 1.619027
1.583843 0.949084
2.254256 1.076206
5.917516 0.882403
1.298253 1.093214
2.203157 0.765896
0.635462 0.913150
4.099839 0.794463
10.924723 4.502748
1.270925 0.803174
1.229521 1.058199
0.710866 1.180489
1.434337 1.109948
1.680813 1.613121
1.272935 1.680318
0.786346 0.844041
1.454837 1.065798
3.049110 1.485446
2.493477 1.082915
0.800066 0.927865
2.913300 0.686167
0.459237 1.093764
4.268210 0.917855
1.674768 0.976731
6.596970 3.062357
1.227550 0.867775
0.728494 1.297186
7.005075 1.891812
2.358344 0.913824
1.012553 1.315365
5.394329 1.065115
0.976960 0.965463
1.737946 1.056412
1.572714 1.807952
0.397891 0.815300
2.051815 1.170306
0.699870 0.919557
0.447702 0.908131
0.909077 1.285392
0.808434 0.851950
3.682902 2.701596
2.167999 1.132300
5.752498 1.139618
3.707789 1.071243
1.714246 1.476717
0.986712 1.062923
7.074942 1.183764
3.802920 1.526522
2.323531 1.593750
0.910765 1.689174
1.161662 1.073760
8.294474 0.956518
8.440037 1.748936
2.475582 1.691395
0.973735 0.971515
0.418053 0.974368
3.811066 2.399265
9.029165 0.732446
9.814863 1.249946
5.723036 1.841302
5.720827 0.901413
1.079065 2.208934
1.468518 0.974874
0.669909 1.418532
4.784596 0.719658
0.462498 1.020605
0.954745 0.927726
1.788246 0.976401
4.010445 0.748381
0.525600 1.322600
1.533565 1.308077
3.145358 1.776906
2.048446 1.357701
0.163180 0.980924
1.900062 1.705229
2.965798 3.846420
2.055831 1.143963
0.599232 1.320233
4.562486 0.816927
1.907242 0.988619
1.980342 0.979740
0.914540 1.240250
3.291410 1.167896
1.903453 2.858891
2.677315 1.932835
12.925473 0.721049
1.303157 1.606007
1.816742 1.114971
3.324862 0.828177
1.116947 0.990989
4.066715 1.247152
0.768469 1.179163
0.478388 1.326894
15.905194 0.355821
1.629401 1.575272
0.346386 1.116456
2.851418 1.484224
5.168767 1.219947
2.751906 1.581330
7.435962 0.742248
1.930812 0.944529
1.510917 1.091490
2.421881 0.866617
0.675490 1.036470
2.864096 1.164562
1.278315 1.060576
3.337630 0.970954
0.476795 1.007376
0.996396 0.988434
0.550502 1.004765
3.336469 1.021767
0.138657 0.987207
1.342620 0.910154
0.617652 1.039876
2.425225 0.908489
3.747933 1.758275
3.452277 0.818118
24.618819 2.406822
4.750516 1.684027
1.214486 1.229176
4.516083 5.058766
6.266427 3.992903
2.769348 0.680773
0.689475 0.827690
1.510864 1.068391
0.820271 0.918388
1.872341 1.158527
3.228282 1.272458
1.160027 1.464962
1.874349 1.121969
3.666572 1.302144
0.353594 1.050905
8.128769 1.690998
1.525700 1.159257
0.321335 0.976428
5.927359 1.122062
1.776693 0.903576
1.532027 1.144038
2.484900 1.317186
1.427567 1.595408
2.191867 0.957514
0.723390 1.026688
1.088363 1.093129
5.071478 5.440630
0.660042 1.340261
5.711385 1.086411
0.372914 1.318790
2.106323 0.982825
0.493393 1.892310
0.569001 1.059581
1.369261 1.086664
2.346051 1.901556
1.308115 0.942829
1.186449 1.280570
4.265851 0.911869
2.292521 0.870220
2.539419 1.465230
7.277800 0.440685
7.709791 0.802105
2.136182 1.613765
5.550864 1.991223
1.886821 1.023801
1.199938 0.905648
0.634696 1.249226
4.130264 1.259414
0.487982 1.211203
10.069899 1.770035
2.036355 2.043164
2.111795 0.943622
7.415746 3.164826
3.569328 1.132011
8.524830 1.093595
1.068057 1.123865
2.121422 1.008187
5.144686 1.010204
1.367712 0.812938
5.628760 0.977426
0.841808 1.141315
2.392521 1.313647
0.778179 1.217923
0.452961 1.009251
5.586905 0.999023
0.986799 2.107048
0.526809 1.449079
1.757648 1.562061
0.497734 1.047690
5.753320 0.881220
0.512107 1.079491
1.943987 1.103332
0.347513 1.135694
0.870961 0.999667
1.095790 1.071098
10.756025 0.998379
0.273630 0.895056
2.765141 1.856352
1.030011 1.141483
0.507799 1.027087
0.614044 1.441229
5.439853 0.829689
2.802560 1.171830
1.055904 1.111529
7.829256 1.360815
8.306608 2.429903
2.026191 0.631896
2.064252 2.668335
1.382086 1.608459
2.948666 1.746094
9.531655 1.975213
3.291879 0.981550
0.466995 1.138547
2.375023 1.014939
1.786520 0.727377
1.530090 1.685499
2.095169 1.647969
1.567949 1.841907
0.262566 1.126690
0.801629 1.028755
0.488392 1.118958
9.588966 4.285971
4.261774 1.399206
0.826362 1.019935
0.667595 1.046772
5.909882 0.818770
1.526156 1.010389
3.984713 0.687540
1.943796 1.004429
36.530487 2.486830
0.653336 1.696703
0.559340 1.125800
1.712349 1.996382
0.666576 1.171234
3.003454 1.869423
4.142180 3.196017
2.640139 1.759048
