stat: 100.000000
1.949160 1.032387 0.004012
1.979160 1.008832 0.002879
2.009160 1.000626 0.002359
2.039160 0.944011 0.001949
2.069160 0.910257 0.001715
2.099160 0.922802 0.001567
2.129160 0.915011 0.001459
2.159160 0.902562 0.001426
2.189160 0.862677 0.001351
2.219160 0.865887 0.001396
2.249160 0.838626 0.001364
2.279160 0.830769 0.001397
2.309160 0.831422 0.001486
2.339160 0.822695 0.001513
2.369160 0.812423 0.001494
2.399160 0.802060 0.001535
2.429160 0.794089 0.001578
2.459160 0.777031 0.001577
2.489160 0.777391 0.001624
2.519160 0.767922 0.001630
2.549160 0.766267 0.001707
2.579160 0.758097 0.001752
2.609160 0.746781 0.001755
2.639160 0.737730 0.001781
2.669160 0.717899 0.001790
2.699160 0.719593 0.001798
2.729160 0.705116 0.001798
2.759160 0.693610 0.001813
2.789160 0.690461 0.001880
2.819160 0.683937 0.001909
2.849160 0.674709 0.001962
2.879160 0.671442 0.001991
2.909160 0.656505 0.002067
2.939160 0.652614 0.002077
2.969160 0.645056 0.002138
2.999160 0.633849 0.002142
3.029160 0.617277 0.002230
3.059160 0.610935 0.002289
3.089160 0.611030 0.002420
3.119160 0.604606 0.002433
3.149160 0.586399 0.002529
3.179160 0.572787 0.002610
3.209160 0.573351 0.002654
3.239160 0.552904 0.002783
3.269160 0.553551 0.002924
3.299160 0.559864 0.002900
3.329160 0.544471 0.002940
3.359160 0.523186 0.003039
3.389160 0.502833 0.003124
3.419160 0.499291 0.003071
3.449160 0.474900 0.003178
