stat: 105.338972
1.949160 0.937145 0.003709
1.979160 0.923450 0.002682
2.009160 0.930229 0.002244
2.039160 0.889480 0.001854
2.069160 0.866915 0.001634
2.099160 0.885153 0.001524
2.129160 0.884862 0.001433
2.159160 0.878792 0.001406
2.189160 0.844034 0.001314
2.219160 0.852016 0.001374
2.249160 0.829624 0.001330
2.279160 0.825029 0.001365
2.309160 0.827896 0.001462
2.339160 0.820349 0.001488
2.369160 0.812181 0.001470
2.399160 0.803539 0.001508
2.429160 0.797459 0.001551
2.459160 0.781886 0.001540
2.489160 0.783231 0.001596
2.519160 0.774403 0.001600
2.549160 0.772179 0.001681
2.579160 0.764889 0.001725
2.609160 0.754104 0.001723
2.639160 0.747486 0.001750
2.669160 0.729587 0.001744
2.699160 0.733756 0.001772
2.729160 0.721802 0.001767
2.759160 0.712570 0.001781
2.789160 0.712952 0.001864
2.819160 0.709590 0.001903
2.849160 0.703853 0.001962
2.879160 0.704239 0.002010
2.909160 0.690799 0.002078
2.939160 0.689336 0.002104
2.969160 0.682944 0.002171
2.999160 0.671549 0.002167
3.029160 0.654528 0.002235
3.059160 0.648621 0.002299
3.089160 0.649253 0.002452
3.119160 0.642856 0.002469
3.149160 0.623575 0.002538
3.179160 0.609323 0.002605
3.209160 0.609197 0.002672
3.239160 0.587267 0.002763
3.269160 0.588538 0.002936
3.299160 0.598259 0.002975
3.329160 0.584857 0.003008
3.359160 0.562767 0.003067
3.389160 0.543565 0.003122
3.419160 0.543925 0.003108
3.449160 0.519162 0.003161
