stat: 142.017400
1.900000 nan inf
1.930000 0.959385 0.006018
1.960000 0.936136 0.002864
1.990000 0.969053 0.002229
2.020000 0.932481 0.001874
2.050000 0.897281 0.001638
2.080000 0.887938 0.001477
2.110000 0.902550 0.001392
2.140000 0.884239 0.001348
2.170000 0.873102 0.001317
2.200000 0.842002 0.001294
2.230000 0.843699 0.001336
2.260000 0.827889 0.001343
2.290000 0.834491 0.001409
2.320000 0.830844 0.001494
2.350000 0.821551 0.001508
2.380000 0.811682 0.001517
2.410000 0.801259 0.001585
2.440000 0.790930 0.001632
2.470000 0.780359 0.001670
2.500000 0.772079 0.001714
2.530000 0.767503 0.001749
2.560000 0.758756 0.001795
2.590000 0.761135 0.001909
2.620000 0.750722 0.001902
2.650000 0.744089 0.001927
2.680000 0.730217 0.001971
2.710000 0.742105 0.002002
2.740000 0.728202 0.002034
2.770000 0.729596 0.002077
2.800000 0.722862 0.002174
2.830000 0.725201 0.002232
2.860000 0.725606 0.002307
2.890000 0.730717 0.002435
2.920000 0.722054 0.002457
2.950000 0.721471 0.002562
2.980000 0.710859 0.002699
3.010000 0.709512 0.002707
3.040000 0.704802 0.002860
3.070000 0.706693 0.003008
3.100000 0.704931 0.003178
3.130000 0.693310 0.003286
3.160000 0.689482 0.003371
3.190000 0.664539 0.003559
3.220000 0.663833 0.003676
3.250000 0.647237 0.003927
3.280000 0.661129 0.004050
3.310000 0.662735 0.004169
3.340000 0.643218 0.004256
3.370000 0.553236 0.001360
