stat: 0.862214
1.900000 nan inf
1.930000 0.957791 0.006043
1.960000 0.934954 0.002876
1.990000 0.968115 0.002238
2.020000 0.931819 0.001882
2.050000 0.896836 0.001645
2.080000 0.887702 0.001482
2.110000 0.902422 0.001397
2.140000 0.884147 0.001352
2.170000 0.873051 0.001321
2.200000 0.842002 0.001297
2.230000 0.843722 0.001340
2.260000 0.827943 0.001346
2.290000 0.834586 0.001412
2.320000 0.830902 0.001498
2.350000 0.821580 0.001512
2.380000 0.811698 0.001520
2.410000 0.801237 0.001588
2.440000 0.790887 0.001635
2.470000 0.780267 0.001673
2.500000 0.771924 0.001717
2.530000 0.767279 0.001752
2.560000 0.758479 0.001799
2.590000 0.760814 0.001912
2.620000 0.750421 0.001905
2.650000 0.743776 0.001931
2.680000 0.729951 0.001974
2.710000 0.741892 0.002005
2.740000 0.728008 0.002038
2.770000 0.729474 0.002081
2.800000 0.722808 0.002178
2.830000 0.725181 0.002236
2.860000 0.725651 0.002311
2.890000 0.730831 0.002440
2.920000 0.722171 0.002461
2.950000 0.721560 0.002567
2.980000 0.710953 0.002704
3.010000 0.709563 0.002712
3.040000 0.704776 0.002865
3.070000 0.706647 0.003013
3.100000 0.704923 0.003183
3.130000 0.693163 0.003291
3.160000 0.689322 0.003376
3.190000 0.664351 0.003564
3.220000 0.663631 0.003681
3.250000 0.647024 0.003933
3.280000 0.660941 0.004056
3.310000 0.662566 0.004175
3.340000 0.643137 0.004262
3.370000 0.553321 0.001363
