A_qso chisq
2.068818 0.926960
1.248804 1.199992
1.545802 1.490940
3.858969 1.563314
1.510670 1.035980
1.520927 0.913555
4.885055 2.183006
2.215406 1.036807
1.055006 1.308143
1.242049 2.352012
2.049895 1.601375
4.661313 1.651490
3.778923 1.046114
1.473064 0.906045
1.551914 1.216476
0.628985 1.013098
0.802869 0.869923
4.712349 2.114790
3.427934 1.859202
5.859257 0.895193
2.124475 0.898060
0.616126 0.973874
2.101189 1.378132
2.268446 0.951017
2.698851 0.997262
5.774747 0.574661
1.261216 1.153537
0.763386 1.240699
4.114738 0.741086
0.797825 1.117597
1.421124 1.385478
0.828574 1.399901
19.537880 0.926519
3.026023 0.999870
0.995969 1.053368
0.422425 1.400614
2.351382 0.790914
2.650802 0.987713
0.514706 1.628022
1.581797 0.942310
2.253156 1.064340
5.906436 0.852403
1.296027 1.099236
2.199171 0.759161
0.634416 0.920522
4.091285 0.818266
10.908715 4.601142
1.266840 0.807956
1.230059 1.056528
0.710101 1.172331
1.435401 1.112600
1.675080 1.645557
1.275266 1.761004
0.783692 0.839472
1.449060 1.082085
3.046352 1.488827
2.488209 1.089719
0.798141 0.922963
2.908902 0.685625
0.458175 1.097574
4.261678 0.935047
1.671355 0.976188
6.589509 3.097297
1.223607 0.870414
0.726425 1.300424
6.996271 1.932999
2.355282 0.897524
1.007519 1.333430
5.388133 1.078820
0.973285 0.965746
1.733413 1.066692
1.570901 1.809809
0.394144 0.819417
2.044742 1.194916
0.698317 0.918293
0.447811 0.911222
0.902060 1.327727
0.806537 0.849550
3.677703 2.724030
2.162475 1.147202
5.741045 1.138374
3.700666 1.086528
1.713536 1.462789
0.981126 1.078617
7.066782 1.148275
3.793766 1.560208
2.323103 1.567810
0.909650 1.682632
1.156625 1.078404
8.284028 0.988406
8.424867 1.837832
2.472671 1.673561
0.972674 0.971699
0.414555 0.976442
3.806330 2.334822
9.018134 0.760534
9.804857 1.210669
5.717280 1.851320
5.709137 0.937392
1.083968 2.341327
1.461423 0.977785
0.670237 1.431306
4.777545 0.741776
0.461805 1.018867
0.951409 0.930485
1.781354 1.004466
4.003587 0.741368
0.527507 1.375165
1.530654 1.296647
3.148743 1.859191
2.047872 1.387367
0.162480 0.979527
1.898684 1.671613
2.953380 3.949650
2.048180 1.145743
0.602943 1.382924
4.549575 0.857525
1.908341 1.003799
1.978228 0.973479
0.912913 1.235263
3.285435 1.139783
1.899187 2.878635
2.671542 1.865611
12.917545 0.717451
1.293946 1.664773
1.813613 1.113837
3.320464 0.827772
1.113844 0.975804
4.058592 1.293591
0.764227 1.149053
0.476950 1.323377
15.882925 0.345508
1.626764 1.556223
0.346190 1.116307
2.846907 1.485007
5.161010 1.236211
2.745962 1.546277
7.421759 0.724756
1.923586 0.968303
1.504736 1.099858
2.416464 0.871385
0.671806 1.035676
2.856901 1.193829
1.275466 1.063372
3.325356 1.014114
0.475664 1.004137
0.993319 0.985359
0.548218 1.001956
3.330204 1.011433
0.138709 0.985004
1.339915 0.911148
0.612514 1.040562
2.420484 0.903753
3.745363 1.720629
3.446116 0.818813
24.594298 2.462718
4.744473 1.709851
1.215112 1.253858
4.513786 4.977452
6.268627 3.941524
2.762533 0.682327
0.684695 0.837402
1.508330 1.065102
0.816599 0.917211
1.867501 1.192978
3.227299 1.263722
1.155232 1.470559
1.870016 1.121934
3.665587 1.316130
0.353803 1.049231
8.122290 1.632827
1.520361 1.183527
0.320697 0.980904
5.921855 1.110882
1.770445 0.906061
1.532714 1.151525
2.476127 1.352396
1.428359 1.599231
2.187015 0.971551
0.724135 1.029836
1.084482 1.106419
5.063659 5.477766
0.656844 1.351148
5.700452 1.098668
0.373875 1.316779
2.102855 0.983510
0.493778 1.902350
0.569244 1.072799
1.367625 1.082943
2.340028 1.890043
1.304329 0.948251
1.178623 1.307948
4.259657 0.925462
2.285007 0.871087
2.521149 1.484252
7.266558 0.429972
7.698381 0.846475
2.136427 1.603330
5.542849 2.039032
1.886635 1.054700
1.195149 0.918935
0.634224 1.248000
4.124944 1.258771
0.487264 1.208414
10.059502 1.802127
2.037060 2.037325
2.103343 0.932207
7.412554 3.120167
3.566839 1.127943
8.514386 1.127600
1.063163 1.092471
2.116924 1.015347
5.135534 0.984602
1.364227 0.810646
5.622859 0.996706
0.836683 1.142340
2.378937 1.378603
0.780678 1.239888
0.449365 1.015222
5.579520 0.999715
0.987549 2.131229
0.530827 1.498078
1.748750 1.603598
0.497458 1.043621
5.746200 0.870046
0.514748 1.095886
1.941787 1.100316
0.346938 1.136680
0.869317 0.997399
1.089577 1.096034
10.744210 0.982505
0.271375 0.896903
2.763606 1.854444
1.027419 1.144915
0.507639 1.035155
0.612833 1.423195
5.431650 0.798550
2.797791 1.154011
1.053068 1.113402
7.820598 1.382876
8.300348 2.468909
2.019101 0.643195
2.062090 2.691340
1.381033 1.603778
2.948104 1.720991
9.525287 2.027120
3.286187 0.977723
0.466421 1.136978
2.370284 0.994471
1.780826 0.733001
1.526249 1.700275
2.090279 1.670972
1.564562 1.849184
0.260181 1.128816
0.798287 1.037175
0.487426 1.120277
9.580708 4.348791
4.249386 1.475901
0.826534 1.019927
0.663940 1.055939
5.899473 0.819892
1.525104 1.006750
3.979004 0.693484
1.939387 0.994996
36.501769 2.533327
0.655378 1.717668
0.558165 1.126561
1.710420 1.971616
0.666297 1.171479
2.994374 1.919565
4.139356 3.149555
2.635171 1.779098
0.524289 1.371425
0.939198 1.157034
8.992158 1.633448
2.916451 0.770827
2.166357 0.972704
1.909554 1.074848
4.972354 0.985901
0.528666 1.329593
4.854735 1.342229
0.987882 1.176773
6.740621 0.951516
1.036926 1.376455
1.513944 1.225371
1.276036 1.160815
0.981854 1.186330
1.546077 0.922517
