stat: 1.648567
1.900000 nan inf
1.930000 0.939698 0.006725
1.960000 0.921854 0.003188
1.990000 0.954979 0.002479
2.020000 0.922214 0.002073
2.050000 0.889498 0.001802
2.080000 0.881042 0.001616
2.110000 0.897851 0.001515
2.140000 0.880924 0.001461
2.170000 0.870819 0.001422
2.200000 0.842002 0.001391
2.230000 0.843591 0.001435
2.260000 0.829570 0.001438
2.290000 0.835874 0.001511
2.320000 0.831756 0.001603
2.350000 0.823224 0.001613
2.380000 0.813952 0.001617
2.410000 0.803229 0.001688
2.440000 0.793457 0.001738
2.470000 0.783171 0.001773
2.500000 0.775666 0.001819
2.530000 0.771835 0.001854
2.560000 0.763889 0.001906
2.590000 0.766000 0.002030
2.620000 0.757625 0.002020
2.650000 0.750309 0.002047
2.680000 0.736948 0.002089
2.710000 0.749114 0.002122
2.740000 0.734956 0.002156
2.770000 0.737425 0.002200
2.800000 0.731343 0.002304
2.830000 0.733747 0.002367
2.860000 0.734005 0.002446
2.890000 0.739326 0.002581
2.920000 0.729488 0.002598
2.950000 0.728606 0.002706
2.980000 0.716261 0.002850
3.010000 0.714109 0.002849
3.040000 0.708321 0.003008
3.070000 0.709297 0.003159
3.100000 0.706553 0.003345
3.130000 0.694938 0.003444
3.160000 0.692024 0.003533
3.190000 0.666153 0.003732
3.220000 0.666331 0.003850
3.250000 0.649556 0.004116
3.280000 0.663621 0.004245
3.310000 0.664038 0.004364
3.340000 0.644881 0.004451
3.370000 0.552705 0.001425
