stat: 574.252594
1.900000 nan inf
1.930000 0.937816 0.006716
1.960000 0.920134 0.003184
1.990000 0.953475 0.002477
2.020000 0.921073 0.002071
2.050000 0.888751 0.001801
2.080000 0.880608 0.001615
2.110000 0.897561 0.001515
2.140000 0.880777 0.001461
2.170000 0.870768 0.001422
2.200000 0.842002 0.001391
2.230000 0.843667 0.001435
2.260000 0.829709 0.001438
2.290000 0.836080 0.001511
2.320000 0.831930 0.001603
2.350000 0.823381 0.001613
2.380000 0.814129 0.001617
2.410000 0.803397 0.001688
2.440000 0.793602 0.001738
2.470000 0.783290 0.001773
2.500000 0.775723 0.001819
2.530000 0.771814 0.001854
2.560000 0.763785 0.001906
2.590000 0.765818 0.002029
2.620000 0.757376 0.002019
2.650000 0.750074 0.002046
2.680000 0.736735 0.002089
2.710000 0.748952 0.002122
2.740000 0.734840 0.002155
2.770000 0.737346 0.002200
2.800000 0.731334 0.002304
2.830000 0.733797 0.002367
2.860000 0.734130 0.002446
2.890000 0.739535 0.002581
2.920000 0.729764 0.002598
2.950000 0.728924 0.002706
2.980000 0.716625 0.002850
3.010000 0.714508 0.002850
3.040000 0.708668 0.003008
3.070000 0.709601 0.003160
3.100000 0.706866 0.003345
3.130000 0.695156 0.003444
3.160000 0.692169 0.003533
3.190000 0.666266 0.003732
3.220000 0.666357 0.003850
3.250000 0.649507 0.004116
3.280000 0.663506 0.004245
3.310000 0.664001 0.004363
3.340000 0.644905 0.004451
3.370000 0.553055 0.001426
