stat: 100.000000
1.900000 nan inf
1.930000 0.942332 0.006963
1.960000 0.924991 0.003294
1.990000 0.958921 0.002560
2.020000 0.925373 0.002130
2.050000 0.892853 0.001845
2.080000 0.886283 0.001651
2.110000 0.902417 0.001544
2.140000 0.883894 0.001485
2.170000 0.872799 0.001442
2.200000 0.842002 0.001407
2.230000 0.843287 0.001450
2.260000 0.827967 0.001451
2.290000 0.835207 0.001525
2.320000 0.831000 0.001618
2.350000 0.821315 0.001625
2.380000 0.810715 0.001626
2.410000 0.799940 0.001698
2.440000 0.790095 0.001746
2.470000 0.778870 0.001780
2.500000 0.769679 0.001825
2.530000 0.763896 0.001859
2.560000 0.754527 0.001910
2.590000 0.756634 0.002034
2.620000 0.746249 0.002022
2.650000 0.738883 0.002049
2.680000 0.725088 0.002091
2.710000 0.738500 0.002125
2.740000 0.724926 0.002158
2.770000 0.727082 0.002203
2.800000 0.719749 0.002306
2.830000 0.722626 0.002370
2.860000 0.723852 0.002450
2.890000 0.730000 0.002586
2.920000 0.721154 0.002604
2.950000 0.720156 0.002714
2.980000 0.709791 0.002861
3.010000 0.707662 0.002860
3.040000 0.702168 0.003019
3.070000 0.703332 0.003173
3.100000 0.701925 0.003360
3.130000 0.688775 0.003457
3.160000 0.685489 0.003545
3.190000 0.659954 0.003746
3.220000 0.658882 0.003862
3.250000 0.640301 0.004130
3.280000 0.654071 0.004259
3.310000 0.655800 0.004380
3.340000 0.638285 0.004469
3.370000 0.550796 0.001435
